scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,parentnetprofit,totaloperatereve,totaloperateexp,totaloperateexp_tb,operateexp,operateexp_tb,saleexp,manageexp,financeexp,operateprofit,sumprofit,incometax,operatereve,intnreve,intnreve_tb,commnreve,commnreve_tb,operatetax,operatemanageexp,commreve_commexp,intreve_intexp,premiumearned,premiumearned_tb,investincome,surrenderpremium,indemnityexp,tystz,yltz,sjltz,kcfjcxsyjlr,sjlktz,eutime,yyzc
688656,016024,80994699,浩欧博,医药制造,001,001,2,,2021-01-08T00:00:00,2018-12-31T00:00:00,40154443.71,201446247.62,144929983.69,0.248722270748477,59157587.99,0.335221669628296,42365262.52,15375101.17,1360506.41,49163638.49,46712250.56,6557806.85,-,-,-,-,-,2518754.98,-,-,-,-,-,-,-,-,0.376754,0.999551,0.880431,44457481.33,1.0931352437,2021/1/7 19:18:43,59157587.99
003035,016048,80312513,南网能源,环保工程,001,001,2,zxb,2021-01-07T00:00:00,2018-12-31T00:00:00,185607467.19,1219073863.55,1043764866.48,0.27218737024485,757530776.12,0.296584772338365,26818903.15,107020503.56,132543664.84,221588480.93,232124202.01,20799087.09,-,-,-,-,-,1966225.63,-,-,-,-,-,-,-,-,0.30212,0.653907,0.467866,170268340.94,0.4788006508,2021/1/7 7:37:20,757530776.12
605398,016057,80994782,新炬网络,软件服务,001,001,2,shzb,2021-01-07T00:00:00,2018-12-31T00:00:00,90797296.75,527706158.96,434171843.67,0.264273419610149,324060660.05,0.642691041428686,22408944.42,41631229.42,1623646.26,98778065.99,98759640.24,7959390.03,-,-,-,-,-,2916245.68,-,-,-,-,-,-,-,-,0.375139,1.167706,1.331524,83463178.98,0.0425950068,2021/1/7 7:20:48,324060660.05
300936,016015,80636770,中英科技,通讯行业,001,001,2,cyb,2021-01-07T00:00:00,2018-12-31T00:00:00,52750768.83,174848427.55,115176210.16,0.247497087054505,91085418.0,0.375284083150347,4343505.27,10190987.31,-1790910.75,61064877.72,61041447.57,8290678.74,-,-,-,-,-,2360692.72,-,-,-,-,-,-,-,-,0.20265,0.127915,0.131736,51789328.32,0.1344220357,2021/1/7 8:33:26,91085418.0
605005,016035,80994694,合兴股份,汽车行业,001,001,2,shzb,2021-01-06T00:00:00,2018-12-31T00:00:00,115200113.77,1198848408.87,1070588110.06,0.208628749096192,832498369.43,0.219254327055482,47606637.69,111267931.52,13562516.83,129217052.4,128820145.53,16403203.39,-,-,-,-,-,7219946.9,-,-,-,-,-,-,-,-,0.10524,-0.302542,-0.26313,109235240.17,-0.0478878788,2021/1/6 7:07:26,832498369.43
300935,016057,80393279,盈建科,软件服务,001,001,2,cyb,2021-01-06T00:00:00,2018-12-31T00:00:00,51761525.9,139276955.06,97522115.67,0.235269300064678,1204426.57,0.0543874286875052,55486045.71,17684389.78,-1142898.63,57865214.16,57852188.59,6090662.69,-,-,-,-,-,2602539.89,-,-,-,-,-,-,-,-,0.282309,0.353534,0.357296,51679063.2,0.3549645874,2021/1/6 7:25:52,1204426.57
605228,016035,80995079,神通科技,汽车行业,001,001,2,shzb,2021-01-06T00:00:00,2018-12-31T00:00:00,138797821.48,1756122936.78,1596908936.04,0.0746150247416968,1309567515.32,0.0433620951094536,71928953.53,122969193.61,14766232.88,147080177.17,172934128.31,34044678.47,-,-,-,-,-,14395739.56,-,-,-,-,-,-,-,-,0.039164,-0.259243,-0.156437,126162930.05,-0.1298806017,2021/1/6 7:01:59,1309567515.32
688680,016018,80393304,海优新材,塑胶制品,001,001,2,,2021-01-05T00:00:00,2018-12-31T00:00:00,27616001.27,715432875.05,691707669.2,0.141454922690229,615992203.18,0.135744506302687,20884676.92,18198725.37,10069155.44,27702936.46,27886608.44,377002.07,-,-,-,-,-,1220767.7,-,-,-,-,-,-,-,-,0.111341,-0.298404,-0.218267,18874326.17,-0.4164671404,2021/1/4 19:41:56,615992203.18
300933,016020,81016893,中辰股份,输配电气,001,001,2,cyb,2021-01-05T00:00:00,2018-12-31T00:00:00,88768861.05,1901545539.18,1812391812.73,-0.0410858257232788,1588009300.14,-0.0490894787978622,101442313.07,26198130.38,28322359.02,87784316.47,101663593.87,12142279.43,-,-,-,-,-,11628528.44,-,-,-,-,-,-,-,-,-0.025881,0.621567,0.825232,75870750.42,0.5781591694,2021/1/5 7:06:12,1588009300.14
688689,016022,80646313,银河微电,电子元件,001,001,2,,2021-01-05T00:00:00,2018-12-31T00:00:00,55880100.02,585382675.45,517045543.96,-0.0536337201024638,430300121.46,-0.0430084904796299,22736133.89,30672786.67,-6556447.9,62671638.04,63422245.72,7542145.7,-,-,-,-,-,5349610.88,-,-,-,-,-,-,-,-,-0.04303,0.05636,0.023212,53158509.99,0.0059351696,2021/1/4 19:28:04,430300121.46
688669,016041,80444981,聚石化学,化工行业,001,001,2,,2021-01-05T00:00:00,2018-12-31T00:00:00,43864094.05,1068913262.79,1025180347.23,0.219071821402794,909545043.96,0.221137192548582,33041254.77,33285025.58,12284486.81,48743474.1,48578622.13,3369827.0,-,-,-,-,-,3451755.96,-,-,-,-,-,-,-,-,0.214084,0.065312,0.11849,37691421.26,0.1815786744,2021/1/5 10:59:17,909545043.96
300932,016022,81018318,三友联众,电子元件,001,001,2,cyb,2021-01-05T00:00:00,2018-12-31T00:00:00,76012141.94,942695744.83,858832179.21,0.036368783294566,698583448.83,0.038324143039451,47226697.18,55633248.43,10688964.11,87884815.24,85528368.55,11220529.17,-,-,-,-,-,11600026.74,-,-,-,-,-,-,-,-,0.053609,0.349793,0.73907,70372201.34,0.3444152889,2021/1/5 8:20:44,698583448.83
688617,016047,81051468,惠泰医疗,医疗行业,001,001,2,,2021-01-04T00:00:00,2018-12-31T00:00:00,21512041.12,241772809.86,224206515.11,0.562704973831092,75484684.45,0.580231588467954,70493478.88,22153785.43,-551036.18,23601289.4,23211899.98,6537130.76,-,-,-,-,-,3247749.74,-,-,-,-,-,-,-,-,0.57842,-0.241572,-0.376149,43655219.57,3.0774430121,2021/1/3 15:25:45,75484684.45
300927,016041,80006365,江天化学,化工行业,001,001,2,cyb,2020-12-31T00:00:00,2018-12-31T00:00:00,61555556.21,610915531.81,540249696.21,0.206842924757705,473431762.48,0.218740014548176,29022369.12,23925489.2,4186953.32,72809328.66,72254288.06,10698731.85,-,-,-,-,-,3192917.1,-,-,-,-,-,-,-,-,0.231846,0.519262,0.527394,60182224.97,0.4877177437,2020/12/30 21:36:25,473431762.48
300926,016035,80495752,博俊科技,汽车行业,001,001,2,cyb,2020-12-31T00:00:00,2018-12-31T00:00:00,61389804.23,476040189.23,402062658.54,0.0969552323982138,332969228.98,0.0879059825177037,10743601.93,29304342.25,5533070.06,71103737.31,71630967.83,10241163.6,-,-,-,-,-,5103189.64,-,-,-,-,-,-,-,-,0.08327,0.013507,0.018442,60245706.13,0.0282628673,2020/12/30 21:39:22,332969228.98
300930,016040,80994692,屹通新材,材料行业,001,001,2,cyb,2020-12-31T00:00:00,2018-12-31T00:00:00,43303497.7,309279550.53,262321191.0,0.293353875381663,215861537.53,0.212051116361881,10642954.09,21577965.36,1583837.08,51753689.35,51552162.09,8248664.39,-,-,-,-,-,2039043.01,-,-,-,-,-,-,-,-,0.21617,-0.066335,-0.07401,59562597.7,0.2390744759,2020/12/31 6:58:58,215861537.53
300931,016043,80520714,通用电梯,机械行业,001,001,2,cyb,2020-12-31T00:00:00,2018-12-31T00:00:00,62846557.16,479065750.36,405794519.44,0.262355333997229,326923132.2,0.240944988854251,46158750.05,16213515.53,-2097532.55,71792319.51,72467689.64,9621132.48,-,-,-,-,-,2543808.37,-,-,-,-,-,-,-,-,0.228436,0.163308,0.176463,60807230.67,0.2989090871,2020/12/31 9:41:37,326923132.2
601963,016029,80001142,重庆银行,银行,001,001,2,shzb,2020-12-30T00:00:00,2018-12-31T00:00:00,3769847000.0,10839774000.0,5979318000.0,-,5979318000.0,0.133156315897097,-,2408311000.0,-,4860456000.0,4842622000.0,1020527000.0,10839774000.0,6875646000.0,-0.15273376343715,1341922000.0,-,134100000.0,2408311000.0,-,-,-,-,-,-,-,0.068479,-0.001624,0.0118,3743587000.0,0.0158797569,2020/12/30 7:17:14,-
003032,016060,80533669,传智教育,文教休闲,001,001,2,zxb,2020-12-30T00:00:00,2018-12-31T00:00:00,169804443.12,791445962.91,634001963.08,0.150252620329889,427705168.85,0.164229608413705,74499338.4,89710808.5,-2862093.0,160934424.01,195575320.25,25770877.13,-,-,-,-,-,3256574.69,-,-,-,-,-,-,-,-,0.132302,0.059977,0.243706,130304744.38,0.0220746777,2020/12/30 6:59:38,427705168.85
