scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,parentnetprofit,totaloperatereve,totaloperateexp,totaloperateexp_tb,operateexp,operateexp_tb,saleexp,manageexp,financeexp,operateprofit,sumprofit,incometax,operatereve,intnreve,intnreve_tb,commnreve,commnreve_tb,operatetax,operatemanageexp,commreve_commexp,intreve_intexp,premiumearned,premiumearned_tb,investincome,surrenderpremium,indemnityexp,tystz,yltz,sjltz,kcfjcxsyjlr,sjlktz,eutime,yyzc
002240,016040,80080282,盛新锂能,材料行业,001,001,2,zxb,2020-05-30T00:00:00,2010-12-31T00:00:00,17177309.45,1535578887.84,1591254711.54,0.614040640742938,1366395294.74,0.74253110545339,57578932.39,101365479.4,52841961.57,-55675823.7,31493486.68,13284968.23,-,-,-,-,-,6652494.35,-,-,-,-,-,-,-,-,0.716845,0.391279,1.343904,2992094.98,1.0523593999,2020/6/1 11:14:42,1366395294.74
000691,016041,10001010,亚太实业,化工行业,001,001,2,szzb,2017-11-25T00:00:00,2010-12-31T00:00:00,4222283.79,0.0,13629095.93,-0.638210119458939,0.0,-,865392.81,7390974.01,-35916.76,25546654.01,3856303.51,488349.75,-,-,-,-,-,1234596.99,-,-,-,-,-,-,-,-,-,38.156208,-0.308773,-7300572.5,-11.4256119265,2017/11/27 22:08:09,0.0
000565,016041,10000907,渝三峡A,化工行业,001,001,2,szzb,2016-03-29T00:00:00,2010-12-31T00:00:00,35281183.09,436396626.58,652814301.88,0.63641234352196,331585960.03,0.181898719656572,12565893.15,105516988.62,28847524.74,15818577.94,21375382.92,34208263.73,-,-,-,-,-,2673341.37,-,-,-,-,-,-,-,-,0.11344,0.222746,-0.826835,-147260811.56,-10.3603024284,2016/3/28 21:39:07,331585960.03
601658,016029,80093164,邮储银行,银行,001,001,2,shzb,2015-09-01T00:00:00,2010-12-31T00:00:00,11436000000.0,77301000000.0,63644000000.0,-,63644000000.0,-,-,56183000000.0,-,13657000000.0,13807000000.0,2371000000.0,77301000000.0,73086000000.0,-,3725000000.0,-,2736000000.0,56183000000.0,-,-,-,-,-,-,-,-,-,-,-,-,2018/5/23 9:55:58,-
601860,016029,80073199,紫金银行,银行,001,001,2,shzb,2015-08-20T00:00:00,2010-12-31T00:00:00,409255779.58,1564641618.03,971452795.97,-,971452795.97,-,-,540719546.81,-,593188822.06,592665655.13,183409875.55,1564641618.03,1446445122.4,-,21893654.53,-,57322011.51,540719546.81,-,-,-,-,-,-,-,-,-,-,-,-,2017/11/6 12:59:46,-
603056,016003,80279273,德邦股份,交运物流,001,001,2,shzb,2015-07-03T00:00:00,2010-12-31T00:00:00,123001496.35,2596467464.44,2425246664.84,1.64986401677539,2003275774.81,2.57855603587842,20761464.53,302867669.92,12035826.05,172011935.18,171768202.32,48766705.97,-,-,-,-,-,78593619.52,-,-,-,-,-,-,-,-,1.62165,1.236322,0.821582,-,-,2016/12/7 10:28:51,2003275774.81
603223,016003,80312072,恒通股份,交运物流,001,001,2,shzb,2015-06-10T00:00:00,2010-12-31T00:00:00,42388970.47,577452095.16,522005282.64,0.65708888903941,461592489.51,0.623734134432178,2992512.53,36934556.51,1640600.21,55446812.52,56963965.7,14574995.23,-,-,-,-,-,17748409.0,-,-,-,-,-,-,-,-,0.664972,0.743042,0.841406,41964833.01,0.6703001173,2017/8/5 12:48:08,461592489.51
601456,016027,80000028,国联证券,券商信托,001,001,2,shzb,2015-05-25T00:00:00,2010-12-31T00:00:00,453259431.49,1175965091.35,559269633.3,-,-,-,-,498632869.82,-,616695458.05,619117597.79,160684138.47,-,152485305.56,-,905334249.65,-0.196531264951518,53696458.51,-,-,152485305.56,-,-,-,-,-,-0.147604,-0.216518,-0.227167,-,-,2018/1/16 17:26:10,-
300167,016057,80054761,迪威迅,软件服务,001,001,2,cyb,2015-05-22T00:00:00,2010-12-31T00:00:00,27274529.46,190802030.67,162435234.18,0.383167888679862,99199912.98,0.357951324586589,29159020.32,25016724.82,6368096.31,28366796.49,34517755.05,7110733.13,-,-,-,-,-,1223670.83,-,-,-,-,-,-,-,-,0.3199,0.045943,-0.074893,39446463.62,0.3512682792,2015/5/24 22:54:38,99199912.98
601577,016029,80001550,长沙银行,银行,001,001,2,shzb,2015-03-25T00:00:00,2010-12-31T00:00:00,866328000.0,2270027000.0,1133881000.0,-,1133881000.0,0.417043043138117,-,761351000.0,-,1136146000.0,1135572000.0,266417000.0,2270027000.0,2023469000.0,0.420130722807431,137391000.0,-,141929000.0,761351000.0,-,-,-,-,-,-,-,0.311203,0.220244,0.111605,-,-,2015/5/19 15:43:05,-
