scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,netoperatecashflow,netoperatecashflow_zb,salegoodsservicerec,salegoodsservicerec_zb,employeepay,employeepay_zb,netinvcashflow,netinvcashflow_zb,invincomerec,invincomerec_zb,buyfilassetpay,buyfilassetpay_zb,netfinacashflow,netfinacashflow_zb,nicashequi,nicashequi_tb,niclientdeposit,niclientdeposit_zb,niloanadvances,niloanadvances_zb,intandcommrec,intandcommrec_zb,agentuwsecurityrec,invpay,invpay_zb,cashequibeginning,cashequibeginning_zb,cashequiending,cashequiending_zb,premiumrec,premiumrec_zb,indemnitypay,indemnitypay_zb,eutime,nideposit,nideposit_zb
688350,016041,80288603,富淼科技,化工行业,001,001,2,,2021-01-25T00:00:00,2018-12-31T00:00:00,79018871.41,3.37582524336396,750645047.23,32.0688773963491,100205516.9,4.28095602277286,-83495885.42,-3.56709116048182,-,-,74611680.7,3.18754230049654,22785479.2,0.973435769113884,23407275.47,1.35296726750174,-,-,-,-,-,-,-,-,-,81659525.67,3.48863864035176,105066801.14,4.48863864035176,-,-,-,-,2021/1/24 15:12:25,-,-
003038,,80994890,鑫铂股份,,001,001,2,zxb,2021-01-25T00:00:00,2018-12-31T00:00:00,3347740.4,0.0713781499848388,760659693.44,16.218247294737,49884621.23,1.06360456625962,-43833762.97,-0.934592451574958,-,-,43833762.97,0.934592451574958,87387495.93,1.86321430159012,46901473.36,8.30372431381426,-,-,-,-,-,-,-,-,-,7159852.11,0.152657296180087,54061325.47,1.15265729618009,-,-,-,-,2021/1/25 7:26:12,-,-
003037,016004,81024311,三和管桩,水泥建材,001,001,2,zxb,2021-01-25T00:00:00,2018-12-31T00:00:00,613883705.19,1.42676024750295,5131868662.21,11.9272528994415,484514102.76,1.12608537305705,214196025.7,0.497824542430708,8120723.43,0.0188738115589886,103417612.31,0.240358453707305,-397711739.33,-0.924343315914652,430264093.96,11.7260237884685,-,-,-,-,-,-,-,2504292971.57,5.82036243954583,202037285.75,0.469565758765784,632301379.71,1.46956575876578,-,-,-,-,2021/1/25 7:16:41,-,-
300943,016043,80363931,春晖智控,机械行业,001,001,2,cyb,2021-01-22T00:00:00,2018-12-31T00:00:00,26157629.3,0.786450896286634,562961848.38,16.9259165330258,64436832.92,1.93734701346984,-4043356.88,-0.121566889942994,-,-,8768639.9,0.26363645686231,-56839877.28,-1.70893821909458,-33260346.48,-1.27355236845596,-,-,-,-,-,-,-,-,-,183318682.16,5.51162875799362,150058335.68,4.51162875799362,-,-,-,-,2021/1/22 7:12:12,-,-
300945,016054,80282521,曼卡龙,珠宝首饰,001,001,2,cyb,2021-01-22T00:00:00,2018-12-31T00:00:00,76630143.78,2.72297092480388,1023675231.97,36.3752141859308,79061734.18,2.80937491197688,-9691472.62,-0.344376205772961,-,-,9691472.62,0.344376205772961,-39170267.98,-1.39187394888007,28142108.71,0.220662503621564,-,-,-,-,-,-,-,-,-,51241371.11,1.82080780221675,79383479.82,2.82080780221675,-,-,-,-,2021/1/22 7:14:34,-,-
300937,016047,81018359,药易购,医疗行业,001,001,2,cyb,2021-01-22T00:00:00,2018-12-31T00:00:00,7167071.07,0.231780675950738,1744261568.85,56.4088344477582,57460592.86,1.85825631189408,-72667314.29,-2.35003658553938,76383.56,0.00247021872608886,44099197.85,1.42615327610506,96422023.22,3.11825590958865,30921780.0,7.4523704470158,-,-,-,-,-,-,-,18270000.0,0.590845675766402,23202524.56,0.75036186661958,54124304.56,1.75036186661958,-,-,-,-,2021/1/21 20:51:21,-,-
688070,016034,80983463,纵横股份,航天航空,001,001,2,,2021-01-21T00:00:00,2018-12-31T00:00:00,8530444.68,0.857022708277256,135667719.16,13.6300416287679,31035362.09,3.11800979532723,-24847609.67,-2.49634884609551,1454811.24,0.146159586716527,7357064.31,0.739137456070595,6363870.5,0.63935489128988,-9953580.69,-1.26423357256114,-,-,-,-,-,-,-,216180000.0,21.7188172510811,65114715.77,6.54183833918365,55161135.08,5.54183833918365,-,-,-,-,2021/1/20 19:23:17,-,-
300942,016024,80994573,易瑞生物,医药制造,001,001,2,cyb,2021-01-21T00:00:00,2018-12-31T00:00:00,57930984.18,0.692627217614697,216877408.67,2.59300266095683,34415662.08,0.411476252410495,-8952056.92,-0.107031467947486,1578272.14,0.0188699407828185,10530329.06,0.125901408730305,34100000.0,0.407702172766042,83639485.58,1.7639824678139,-,-,-,-,-,-,-,-,-,99483264.43,1.18942941530703,183122750.01,2.18942941530703,-,-,-,-,2021/1/21 7:20:06,-,-
688665,016021,80594767,四方光电,仪器仪表,001,001,2,,2021-01-21T00:00:00,2018-12-31T00:00:00,9507065.32,0.778484688842627,114417613.62,9.36906998521407,37358174.21,3.05906877114004,-9715815.14,-0.79557813810365,-,-,9715815.14,0.79557813810365,12433178.95,1.01808908642435,12212270.14,41.9348179714029,-,-,-,-,-,-,-,-,-,4267864.58,0.349473482904793,16480134.72,1.34947348290479,-,-,-,-,2021/1/21 10:55:02,-,-
300941,016057,80423801,创识科技,软件服务,001,001,2,cyb,2021-01-21T00:00:00,2018-12-31T00:00:00,44426881.5,0.316168845623293,463439325.31,3.29811752597806,31278920.85,0.222599920669355,-167606306.56,-1.19278893037448,2470797.52,0.0175837054794695,77104.08,0.000548719764776783,-17403750.0,-0.123855723409629,-140516316.25,-4.41080898045856,-,-,-,-,-,-,-,899896891.3,6.40421635946495,152413941.69,1.08467077530578,11897625.44,0.0846707753057823,-,-,-,-,2021/1/21 7:16:05,-,-
