scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,netoperatecashflow,netoperatecashflow_zb,salegoodsservicerec,salegoodsservicerec_zb,employeepay,employeepay_zb,netinvcashflow,netinvcashflow_zb,invincomerec,invincomerec_zb,buyfilassetpay,buyfilassetpay_zb,netfinacashflow,netfinacashflow_zb,nicashequi,nicashequi_tb,niclientdeposit,niclientdeposit_zb,niloanadvances,niloanadvances_zb,intandcommrec,intandcommrec_zb,agentuwsecurityrec,invpay,invpay_zb,cashequibeginning,cashequibeginning_zb,cashequiending,cashequiending_zb,premiumrec,premiumrec_zb,indemnitypay,indemnitypay_zb,eutime,nideposit,nideposit_zb
300613,016022,80350175,富瀚微,电子元件,001,001,2,cyb,2020-12-21T00:00:00,2016-12-31T00:00:00,84737396.16,1.03449446562399,322093543.47,3.93219526717324,40644456.57,0.496197278714679,-11738973.17,-0.143312201304175,-,-,11738973.17,0.143312201304175,-,-,81911889.31,1.18832523086023,-,-,-,-,-,-,-,-,-,110183642.31,1.34514834461947,192095531.62,2.34514834461947,-,-,-,-,2020/12/21 20:14:32,-,-
300507,016035,80198724,苏奥传感,汽车行业,001,001,2,cyb,2020-12-11T00:00:00,2016-12-31T00:00:00,50380482.82,1.30821825880528,536151736.51,13.9221272193545,41577515.51,1.07963365774552,-366987435.45,-9.52947722877372,3404802.95,0.0884117248883502,40841357.91,1.06051802487,355108000.0,9.22100669633532,38510762.62,-0.18757003623087,-,-,-,-,-,-,-,649980000.0,16.8778792155739,113303476.21,2.94212496719443,151814238.83,3.94212496719443,-,-,-,-,2020/12/11 19:53:57,-,-
300311,016057,80195004,任子行,软件服务,001,001,2,cyb,2020-10-13T00:00:00,2016-12-31T00:00:00,91701033.11,4.53788707401057,649544554.35,32.1431475438567,129798769.81,6.42317910460968,-116131290.77,-5.74683474548421,2332969.56,0.11544856204275,78848311.49,3.90186153179785,4222387.43,0.20894767147364,-20207870.23,-1.23711936931809,-,-,-,-,-,-,-,84500000.0,4.18153912501644,345223208.85,17.0836018304142,325015338.62,16.0836018304142,-,-,-,-,2020/10/13 21:43:04,-,-
000995,016031,10001243,皇台酒业,酿酒行业,001,001,2,szzb,2020-10-10T00:00:00,2016-12-31T00:00:00,17681817.01,1.32445834860623,193246550.25,14.4751530158476,20535060.0,1.53818081256854,177773.74,0.0133161605491558,-,-,2085226.26,0.156194090642835,-4502684.39,-0.337274044183453,13350225.04,31.4279139655321,-,-,-,-,-,-,-,-,-,5803271.86,0.434694684367658,19153496.9,1.43469468436766,-,-,-,-,2020/10/9 21:08:57,-,-
601969,016033,80124565,海南矿业,钢铁行业,001,001,2,shzb,2020-10-10T00:00:00,2016-12-31T00:00:00,388138874.74,651.06110694363,1507439258.81,2528.56680008812,415535588.05,697.016139162895,-723064282.57,-1212.86236148536,32874090.5,55.1427417957869,345137114.93,578.930292009989,330874950.34,555.007048888316,-596163.51,0.999220839652371,-,-,-,-,-,-,-,360219299.83,604.229030773789,792291797.69,1328.98405286496,791695634.18,1327.98405286496,-,-,-,-,2020/10/9 15:58:47,-,-
688680,016018,80393304,海优新材,塑胶制品,001,001,2,,2020-08-21T00:00:00,2016-12-31T00:00:00,-75707040.66,-0.821552256679214,335507936.75,3.64084106534603,30929554.41,0.335639129493059,-43290275.07,-0.46977431512276,-,-,18121286.35,0.196647280952809,210779190.44,2.28731856452675,92151217.46,8.75413408348192,-,-,-,-,-,-,-,25200000.0,0.273463560163365,24997786.59,0.271269195123231,117149004.05,1.27126919512323,-,-,-,-,2020/8/21 21:40:56,-,-
300065,016049,80126848,海兰信,船舶制造,001,001,2,cyb,2020-08-17T00:00:00,2016-12-31T00:00:00,157085288.17,1.01355473926109,752987676.92,4.85847043627362,69854862.5,0.450721565158186,-239427191.11,-1.54484590558785,2538025.75,0.016375995850708,26988237.88,0.174135062081541,-75469348.97,-0.486947677969128,-154984513.5,-1.57295401081954,-,-,-,-,-,-,-,962780000.0,6.21210454036751,424310792.35,2.73776252070501,269326278.85,1.73776252070501,-,-,-,-,2020/8/17 20:52:55,-,-
300473,016035,80329879,德尔股份,汽车行业,001,001,2,cyb,2020-07-31T00:00:00,2016-12-31T00:00:00,198221086.75,2.6222557573408,692596831.79,9.16232505559766,100065988.21,1.32376740537504,-173052801.31,-2.28930590584153,-,-,176502485.31,2.33494158405479,-101162813.68,-1.3382772486549,-75591820.59,-1.11853883983588,-,-,-,-,-,-,-,-,-,988448370.52,13.0761286446746,912856549.93,12.0761286446746,-,-,-,-,2020/7/31 22:04:21,-,-
603776,016008,80437106,永安行,交运设备,001,001,2,shzb,2020-07-27T00:00:00,2016-12-31T00:00:00,203808909.49,9.57432059551001,749133014.84,35.191982876053,185936472.29,8.73472803793188,-268766114.02,-12.6258118316615,-,-,268949824.05,12.6344419682352,86372755.59,4.05752847020098,21287036.24,0.554032335858786,-,-,-,-,-,-,-,2500000.0,0.117442370643514,144027397.71,6.76596760987146,165314433.95,7.76596760987146,-,-,-,-,2020/7/26 15:34:01,-,-
002502,016042,80154823,*ST鼎龙,综合行业,001,001,2,,2020-07-18T00:00:00,2016-12-31T00:00:00,296069548.02,0.813380999005905,1044789685.02,2.87031234193402,93132976.57,0.255860807129624,-99920316.19,-0.274507416068734,1603678.56,0.00440572722841809,14683882.18,0.0403404903906112,167958135.57,0.461425219225407,363998603.83,3.75541620764928,-,-,-,-,-,-,-,456118604.0,1.25307789425759,438794458.55,1.20548390552325,802793062.38,2.20548390552325,-,-,-,-,2020/7/17 19:44:43,-,-
002341,016040,80135985,新纶科技,材料行业,001,001,2,zxb,2020-07-18T00:00:00,2016-12-31T00:00:00,106672317.42,0.0720499727146207,1491019011.16,1.00708301525019,161796288.66,0.109282506138694,-782587106.86,-0.52858493243445,-,-,310541524.98,0.209749904593061,2156447719.23,1.4565353325857,1480532377.75,13.238003797422,-,-,-,-,-,-,-,4621078.71,0.00312122772824649,181701470.07,0.122727116813302,1662233847.82,1.1227271168133,-,-,-,-,2020/7/17 21:44:20,-,-
600701,016042,10000508,*ST工新,综合行业,001,001,2,,2020-06-24T00:00:00,2016-12-31T00:00:00,-74705173.99,-0.211081473679191,1760231801.77,4.97358218835453,125186717.68,0.353718429950949,-290223490.56,-0.820034260169504,-,-,348177571.72,0.983785071573996,716821093.91,2.02539723536561,353916299.18,4.89651318506515,-,-,-,-,-,-,-,-,-,105686997.96,0.29862144864441,459603297.14,1.29862144864441,-,-,-,-,2020/6/23 17:02:35,-,-
300419,016014,80198467,浩丰科技,电子信息,001,001,2,cyb,2020-06-12T00:00:00,2016-12-31T00:00:00,38968600.59,0.808784169058003,577496072.34,11.9857955874768,39611016.96,0.82211737020285,-187450482.33,-3.89049081299819,2872131.56,0.0596104171566266,102584353.54,2.12911420682354,99888335.35,2.07315898137149,-48181705.43,-1.2152638967053,-,-,-,-,-,-,-,234000000.0,4.85661513870577,301796677.09,6.26371927677945,253614971.66,5.26371927677945,-,-,-,-,2020/6/12 20:44:32,-,-
002089,016015,80080278,ST新海,通讯行业,001,001,2,,2020-06-09T00:00:00,2016-12-31T00:00:00,206157501.0,116.151419724362,1617001835.2,911.036745907092,362083446.11,204.001824432116,-650913855.49,-366.73207652736,59023318.72,33.2543915837022,286870938.09,161.626264264878,450453486.56,253.79048411987,1774902.98,-0.994851145927172,-,-,-,-,-,-,-,484111111.0,272.753562563741,608561477.21,342.870277455954,610336380.19,343.870277455954,-,-,-,-,2020/6/8 21:20:56,-,-
300055,016048,80139913,万邦达,环保工程,001,001,2,cyb,2020-06-05T00:00:00,2016-12-31T00:00:00,104452290.8,1.23214588242943,970354131.21,11.4465450026185,120080295.76,1.41649781779216,-1288891278.42,-15.2040904937665,3451149.25,0.0407106374160721,716209899.0,8.44859477230394,1269211653.17,14.971944611337,84772665.55,-0.620540232435416,-,-,-,-,-,-,-,176020220.4,2.07637944681804,1152819538.31,13.5989535168037,1237592203.86,14.5989535168037,-,-,-,-,2020/6/5 21:30:44,-,-
000010,016046,10000599,美丽生态,园林工程,001,001,2,szzb,2020-05-29T00:00:00,2016-12-31T00:00:00,-81009787.27,-0.0842580342650697,685530692.73,0.713018396225216,75479093.63,0.078505576569118,-67844985.72,-0.0705653640646688,68054.79,7.07835808605515e-05,74294540.51,0.0772735264584184,-812594042.86,-0.845176601670261,-961448815.85,-2.33603157309367,-,-,-,-,-,-,-,-,-,1095513975.67,1.13944076648685,134065159.82,0.139440766486852,-,-,-,-,2020/5/28 20:36:58,-,-
000989,016024,10001238,九芝堂,医药制造,001,001,2,szzb,2020-05-14T00:00:00,2016-12-31T00:00:00,612378390.53,2.19237426324609,3067503125.9,10.9819598628058,246491701.39,0.882464291013715,-30622296.01,-0.109630801301991,20010984.96,0.0716412745566327,72750878.16,0.260455227312144,-302434082.4,-1.0827434619441,279322012.12,-0.603871352563872,-,-,-,-,-,-,-,1701500000.0,6.09153566912233,1268464465.73,4.54122629327564,1547786477.85,5.54122629327564,-,-,-,-,2020/5/13 18:40:07,-,-
