scode,hycode,companycode,sname,publishname,mkt,reporttimetypecode,combinetypecode,dataajusttype,noticedate,reportdate,sumasset,fixedasset,monetaryfund,monetaryfund_tb,accountrec,accountrec_tb,inventory,inventory_tb,sumliab,accountpay,accountpay_tb,advancereceive,advancereceive_tb,sumshequity,sumshequity_tb,tsatz,tdetz,ld,zcfzl,cashanddepositcbank,cashanddepositcbank_tb,loanadvances,loanadvances_tb,saleablefasset,saleablefasset_tb,borrowfromcbank,borrowfromcbank_tb,acceptdeposit,acceptdeposit_tb,sellbuybackfasset,sellbuybackfasset_tb,settlementprovision,settlementprovision_tb,borrowfund,borrowfund_tb,agenttradesecurity,agenttradesecurity_tb,premiumrec,premiumrec_tb,stborrow,stborrow_tb,premiumadvance,premiumadvance_tb,eutime
003036,016043,80062092,泰坦股份,机械行业,zxb,001,001,2,2021-01-11T00:00:00,2019-12-31T00:00:00,1194531393.35,91654736.71,352096261.28,0.167947131906553,229167170.73,-0.102636918709529,104471105.14,-0.0375562796370236,426035176.42,187453336.91,0.0725764029829768,38887438.61,-0.272919569264282,768496216.93,0.250847156671395,0.0657545871570746,-0.158783001219057,-,0.356654650343853,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-11T07:34:33
601965,016035,80078488,中国汽研,汽车行业,shzb,001,001,2,2021-01-09T00:00:00,2019-12-31T00:00:00,6058548069.85,2632648088.63,1146343069.65,-0.100466992965028,363895224.95,0.102448724683212,284457478.22,0.18514080082262,1344952466.96,363299270.34,0.173570577949327,323978584.05,0.00768591016396172,4713595602.89,0.0523705735553158,0.061662,0.095561,0.02247179,0.2219925387,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-08T19:18:08
600729,016036,10000536,重庆百货,商业百货,shzb,001,001,2,2021-01-09T00:00:00,2019-12-31T00:00:00,15147771524.1,3037902847.08,4045998229.34,0.323831634902863,176073775.98,0.32006989411692,2799106056.63,0.151556312140867,8689673016.56,3045153071.34,0.066002816422081,2223090813.49,0.0956947537406329,6458098507.54,0.128830761462246,0.073122,0.035156,0.01104242,0.5736601587,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-08T16:34:40
688656,016024,80994699,浩欧博,医药制造,,001,001,2,2021-01-08T00:00:00,2019-12-31T00:00:00,283177230.47,81552625.14,90762405.16,0.364400827687529,19912475.96,-0.0818670698155075,59631106.75,0.212952795598463,133541173.15,5860661.91,1.00337917881498,5206479.22,0.137431477399312,149636057.32,0.124074413227396,0.257314,0.449885,0.0143612,0.4715816061,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-07T19:19:17
300937,016047,81018359,药易购,医疗行业,cyb,001,001,2,2021-01-08T00:00:00,2019-12-31T00:00:00,746670014.83,103241948.78,123166034.03,0.261630232746078,29871617.36,0.426613552821162,291916848.07,0.310707647417569,259566630.66,87986688.13,0.127019541073321,11618461.99,0.244687543484127,487103384.17,0.179503236069303,0.177023,0.172396,0.02268371,0.3476323215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-08T07:15:01
300936,016015,80636770,中英科技,通讯行业,cyb,001,001,2,2021-01-07T00:00:00,2019-12-31T00:00:00,375198286.42,81940590.8,68896550.9,-0.332325898219562,70550062.37,0.390378998710946,30872659.25,0.00826812699921027,73187330.76,30834117.31,0.887567183605629,1120.02,-0.998903375099538,302010955.66,0.187588532589904,0.319496,1.436031,0.03314171,0.1950630731,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-07T07:49:49
003035,016048,80312513,南网能源,环保工程,zxb,001,001,2,2021-01-07T00:00:00,2019-12-31T00:00:00,8882260320.19,5505675347.71,695837741.79,1.60626975684895,844663815.3,0.490025529880079,57739984.31,1.99933197524057,4392095330.6,1027510744.5,0.496953606527803,40186468.34,1.28768364803188,4490164989.59,1.34151724468819,0.327756,-0.07962,0.01215488,0.4944794649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-07T07:12:48
605398,016057,80994782,新炬网络,软件服务,shzb,001,001,2,2021-01-07T00:00:00,2019-12-31T00:00:00,547037262.76,2437094.22,287069912.29,0.441607932009823,201032603.88,0.0804328138055947,44953520.24,-0.0792821300020882,219934878.08,96808973.18,0.161021795478351,3549893.13,-0.21361877790105,327102384.68,0.365923918210913,0.2221,0.05663,0.02459718,0.4020473431,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-07T07:52:21
002409,016041,80140712,雅克科技,化工行业,zxb,001,001,2,2021-01-07T00:00:00,2019-12-31T00:00:00,5070496765.97,695829870.94,843372617.67,0.146145265941598,343275241.71,-0.0829989284107595,312089822.27,-0.0346652731127155,523711991.9,102370952.87,-0.100124861255711,43030050.32,4.6450886956663,4546784774.07,0.0685146790753453,0.065815,0.042937,0.04071981,0.1032861307,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-06T15:51:02
605228,016035,80995079,神通科技,汽车行业,shzb,001,001,2,2021-01-06T00:00:00,2019-12-31T00:00:00,1842730426.03,538449447.56,197098479.1,0.0129107346732403,338785363.65,-0.0372687811583534,271919874.49,-0.178455102588475,978253540.66,361797470.76,-0.148773712970198,6024397.74,-0.769981823272957,864476885.37,0.156167350218632,-0.023132,-0.14087,0.01075976,0.5308717579,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021-01-06T06:59:24
