scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,netoperatecashflow,netoperatecashflow_zb,salegoodsservicerec,salegoodsservicerec_zb,employeepay,employeepay_zb,netinvcashflow,netinvcashflow_zb,invincomerec,invincomerec_zb,buyfilassetpay,buyfilassetpay_zb,netfinacashflow,netfinacashflow_zb,nicashequi,nicashequi_tb,niclientdeposit,niclientdeposit_zb,niloanadvances,niloanadvances_zb,intandcommrec,intandcommrec_zb,agentuwsecurityrec,invpay,invpay_zb,cashequibeginning,cashequibeginning_zb,cashequiending,cashequiending_zb,premiumrec,premiumrec_zb,indemnitypay,indemnitypay_zb,eutime,nideposit,nideposit_zb
601318,016028,80001597,中国平安,保险,001,001,2,shzb,2021-02-04T00:00:00,2019-12-31T00:00:00,249445000000.0,54.7268538832821,-,-,-,-,-380157000000.0,-83.4043440105309,183635000000.0,40.288503729706,-,-,125077000000.0,27.4412022817025,-4558000000.0,-6.121875,-,-,-,-,-,-,-,2066993000000.0,453.486836331724,-,-,-,-,792570000000.0,173.885476086003,222773000000.0,48.8751645458534,2021/2/3 22:30:26,-,-
000001,016029,10000590,平安银行,银行,001,001,2,szzb,2021-02-02T00:00:00,2019-12-31T00:00:00,-40025000000.0,-2.31934867010489,-,-,-,-,-102056000000.0,-5.91389001564582,30934000000.0,1.79254795155589,3553000000.0,0.205887465955844,158667000000.0,9.19435591354233,17257000000.0,-0.30350728498204,-,-,374197000000.0,21.6837804948716,-,-,-,-,-,-,-,-,-,-,-,-,-,2021/2/1 22:05:23,285850000000.0,16.5642927507678
688350,016041,80288603,富淼科技,化工行业,001,001,2,,2021-01-25T00:00:00,2019-12-31T00:00:00,196994483.69,8.46387997198462,868505453.5,37.3153896278935,108025645.01,4.64132840744754,-42765273.21,-1.837412564243,-,-,45925765.48,1.97320330682928,-132010494.49,-5.67183892399732,23274725.58,-0.00566276456095386,-,-,-,-,-,-,-,-,-,105066801.14,4.51420150063054,128341526.72,5.51420150063054,-,-,-,-,2021/1/24 15:12:25,-,-
003038,,80994890,鑫铂股份,,001,001,2,zxb,2021-01-25T00:00:00,2019-12-31T00:00:00,33627336.42,1.2309865914098,981249378.46,35.920324245338,68631623.77,2.51237884417467,-54905870.21,-2.0099239848803,4158.61,0.00015223308456444,54910028.82,2.01007621796487,48595920.23,1.7789373934705,27317386.44,-0.417558032125752,-,-,-,-,-,-,-,15010000.0,0.549466913058027,54061325.47,1.97900796947543,81378711.91,2.97900796947543,-,-,-,-,2021/1/25 7:26:12,-,-
003037,016004,81024311,三和管桩,水泥建材,001,001,2,zxb,2021-01-25T00:00:00,2019-12-31T00:00:00,222112070.89,1.65312588608216,4941537914.75,36.7786595802592,598964194.8,4.45794418688129,-341562573.39,-2.54216679681262,5485784.57,0.0408293544866742,184940422.05,1.37646638405901,-14945030.23,-0.111232209228867,-134358836.65,-1.31227062294092,-,-,-,-,-,-,-,636682602.45,4.738673081165,632301379.71,4.70606471055657,497942543.06,3.70606471055657,-,-,-,-,2021/1/25 7:16:41,-,-
300943,016043,80363931,春晖智控,机械行业,001,001,2,cyb,2021-01-22T00:00:00,2019-12-31T00:00:00,118311934.14,1.10806834139751,529870857.89,4.96258578582854,55448622.14,0.519312470158277,-142522.48,-0.0013348158761278,-,-,3436546.78,0.03218549944542,-11556872.73,-0.108237642218915,106773138.19,4.21022326854606,-,-,-,-,-,-,-,-,-,150058335.68,1.40539407405049,256831473.87,2.40539407405049,-,-,-,-,2021/1/22 7:12:13,-,-
300945,016054,80282521,曼卡龙,珠宝首饰,001,001,2,cyb,2021-01-22T00:00:00,2019-12-31T00:00:00,53673973.57,2.19609328780245,961930009.99,39.3577724503616,82917580.91,3.39260782769856,-3426815.3,-0.140209594675417,-,-,3469468.7,0.14195477654312,-25806537.58,-1.05588537966073,24440661.91,-0.131526988192066,-,-,-,-,-,-,-,-,-,79383479.82,3.24800858963316,103824141.73,4.24800858963316,-,-,-,-,2021/1/22 7:14:34,-,-
300937,016047,81018359,药易购,医疗行业,001,001,2,cyb,2021-01-22T00:00:00,2019-12-31T00:00:00,42333762.32,2.96962947986465,2246377501.65,157.578927225492,71660826.71,5.02686489192459,-38527853.27,-2.70265250703783,67113.28,0.00470786350789931,36445080.49,2.55655012661166,10449661.42,0.73302302717318,14255570.47,-0.538979629568544,-,-,-,-,-,-,-,24000000.0,1.6835524085484,54124304.56,3.79671263762481,68379875.03,4.79671263762481,-,-,-,-,2021/1/21 20:51:21,-,-
688070,016034,80983463,纵横股份,航天航空,001,001,2,,2021-01-21T00:00:00,2019-12-31T00:00:00,30946365.02,0.224587482657849,227716590.77,1.65261076211729,45441557.61,0.329783644220763,8417130.8,0.0610857597120739,4928149.54,0.035765127782689,23411069.4,0.169901477587955,98459318.54,0.714550173528132,137792029.43,14.8434633446469,-,-,-,-,-,-,-,632911193.8,4.59323515604019,55161135.08,0.400321668155868,192953164.51,1.40032166815587,-,-,-,-,2021/1/20 19:23:17,-,-
300942,016024,80994573,易瑞生物,医药制造,001,001,2,cyb,2021-01-21T00:00:00,2019-12-31T00:00:00,67243603.6,0.26100034234924,237025336.02,0.919993732261303,48267862.86,0.187347614590455,-19681837.69,-0.0763933831641374,10361132.11,0.0402158552346784,26292969.8,0.1020539315531,209279103.77,0.812299085804974,257637990.03,2.08033924698847,-,-,-,-,-,-,-,3750000.0,0.0145553068457153,183122750.01,0.710775417820473,440760740.04,1.71077541782047,-,-,-,-,2021/1/21 7:20:06,-,-
